Run	Sample Characteristic[block]	Sample Characteristic Ontology Term[block]	Sample Characteristic[developmental stage]	Sample Characteristic Ontology Term[developmental stage]	Sample Characteristic[individual]	Sample Characteristic Ontology Term[individual]	Sample Characteristic[karyotype]	Sample Characteristic Ontology Term[karyotype]	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Sample Characteristic[sampling site]	Sample Characteristic Ontology Term[sampling site]	Factor Value[developmental stage]	Factor Value Ontology Term[developmental stage]	Factor Value[organism part]	Factor Value Ontology Term[organism part]	Analysed
ERR1472980	sequencing batch:FC2014_044		10 post conception weeks		11841		46, XY		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	left	http://www.ebi.ac.uk/efo/EFO_0001658	10 post conception weeks		basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	Yes
ERR1472981	sequencing batch:FC2014_045		13 post conception weeks		11947		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	right	http://www.ebi.ac.uk/efo/EFO_0001659	13 post conception weeks		basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	Yes
ERR1472982	sequencing batch:FC2014_044		17 post conception weeks		11921		46, XY		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	left	http://www.ebi.ac.uk/efo/EFO_0001658	17 post conception weeks		basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	Yes
ERR1472983	sequencing batch:FC2014_080		12 post conception weeks		12007		46, XY		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	left	http://www.ebi.ac.uk/efo/EFO_0001658	12 post conception weeks		basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	Yes
ERR1472984	sequencing batch:FC2014_080		12 post conception weeks		12007		46, XY		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	right	http://www.ebi.ac.uk/efo/EFO_0001659	12 post conception weeks		basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	Yes
ERR1472985	sequencing batch:FC2014_081		11 post conception weeks		11942		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	right	http://www.ebi.ac.uk/efo/EFO_0001659	11 post conception weeks		basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	Yes
ERR1472986	sequencing batch:FC2014_038		Carnegie Stage 23		11823		46, XY		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955	left	http://www.ebi.ac.uk/efo/EFO_0001658	Carnegie Stage 23		brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955	Yes
ERR1472987	sequencing batch:FC2014_038		Carnegie Stage 23		11823		46, XY		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955	right	http://www.ebi.ac.uk/efo/EFO_0001659	Carnegie Stage 23		brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955	Yes
ERR1472988	sequencing batch:FC2014_038		Carnegie Stage 23		11826		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955			Carnegie Stage 23		brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955	Yes
ERR1472989	sequencing batch:FC2014_030		Carnegie Stage 23		11827		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955			Carnegie Stage 23		brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955	Yes
